crop_name,crop_diseases,crop_causes,crop_symptom,cultural_control,chemical_control,biological_control
Clover ,(Trifolium spp.)-Common Leaf Spot,"Pseudopeziza trifolii, a fungus. It attacks red clover primarily but also white and crimson species. Leaf spot occurs throughout the growing season but is most severe in fall. Long-term infections may reduce plant vigor and contribute to winter injury. The fungus survives in plant residue. No resistant cultivars are known; tetraploid cultivars are more susceptible than diploids.


","Leaf spots are dark brown to black with irregular or fringed edges. Spots are on both leaf surfaces. Fruiting structures (raised disks) appear on the upper surface and ooze an amber liquid under moist conditions. Lesions on petioles are rare.


","

1) Cut early to minimize leaf loss and to reduce inoculum.

","Foliar fungicides effectively reduce disease severity and may be considered for clover seed crops.


1) Quadris Flowable (Group 11) at 6 to 15.5 fl oz/A. Do not apply more than 15.5 fl oz/A per cutting. Preharvest interval is 14 days for grazing or harvest for forage and hay. 4-hr reentry.

",
Clover ,(Trifolium spp.)-Damping-off,"The soilborne fungi or fungus-like microorganisms, Fusarium spp., Pythium spp. and Rhizoctonia solani, may attack before, during, and after germination. In the Pacific Northwest, Pythium spp. are the major cause of pre- and post-emergence damping-off of young clover seedlings. Pythium is favored by cool, wet soils. Rhizoctonia solani is more often associated with post-emergence damping-off of older seedlings and soil temperatures are warm; it is favored by warmer soil temperatures. These fungi can survive several years in soil and can infect other plant species including beans and other vegetable crops. Red clover becomes more resistant to these soilborne pathogens after plants reach the 4- or 5-leaf stage.


","Seeds either do not emerge, or emerged seedlings often develop blackened stems and wilt. Very few infected seedlings survive and root die-back maybe evident.


","

1) Encourage rapid emergence by managing planting depth (shallow), timing, and soil moisture. Work soil at moisture conditions that reduce soil compaction.

2) Avoid planting in wet or poorly-drained soil.

3) Rotate clover crops with grass and grain.

4) Use good quality seed.

5) Lime acid soils to get a pH of 6.5 or 7.0.

6) If the stand is lost, replant ideally in dry, warm weather, which is more favorable for germination.

","


1) Treat seed with fungicides.

1.1) Acquire at 0.75 to 1.5 fl oz/100 lb seed plus a dye. For control of Pythium only. See label for reentry restrictions.
1.2) Allegiance-FL at 0.75 to 1.5 fl oz/100 lb seed when Pythium is a problem. See label for reentry restrictions.
1.3) Apron XL at 0.64 fl oz/100 lb seed when Pythium is a problem. See label for reentry restrictions.
1.4) Captan 4F at 8 fl oz/100 lb seed. 
1.5) Maxim 4FS at 0.08 to 0.16 fl oz/100 lb seed. For control of pathogenic Fusarium and Rhizoctonia spp. See label for reentry restrictions.
1.6) Thiram 50WP Dyed at 8 oz/100 lb seed plus a dye. Not labeled for Oregon. See label for reentry restrictions.
","


1) T-22 HC at 0.35 to 26.4 lb/100 lb seed (commercial seed treatment) or 2 to 4 oz/100 lb seed (planter box) will suppress certain fungal pathogens including , , and  spp. Do not use in alkaline soils or if soil is below 50°F. 4-hr reentry.

"
Clover ,(Trifolium spp.)-Dodder,"Annual, parasitic seed plants belonging to the genus Cuscuta, which live on clover and other plants including commercial crops and weeds. Dodder plants consist of rootless, leafless stems that encircle and penetrate clover stems, diverting host nutrients. Dodder is favored by high temperatures and full sunlight. Dodder seed can remain viable in the soil for 20 years. Dodder seeds are gray to brown, irregularly round with a rough surface texture, and are similar to clover and alfalfa seed in density.


","A tangle of leafless, thread-like stems that are yellow, orange, purple, or white, entwine clover stems. Tiny white, pink, or yellowish flowers in clusters appear in June; seeds are produced from midsummer until frost kills the plant.


","See also the PNW Weed Management Handbook for additional information.

1) Plant seed free of dodder seed.

2) Do not spread manure or hay with dodder in it.

3) Do not graze dodder-infested areas and then put animals on clean land.

4) Avoid spreading dodder seed in irrigation water.

5) Cut dodder-infected plants before they develop seed.

",,
Clover ,(Trifolium spp.)-Fusarium Root and Crown Rot,"Several fungi, primarily Fusarium spp. Stresses such as frequent cutting, winter injury, nutrient deficiencies, and wounding favor development of this disease. Fungal rots often are associated with insect injury caused principally by the clover root borer and clover root curculio. Damage increases as a stand ages. The disease can severely limit red clover production.


","Plants are pale green and stunted. They may wilt in hot weather. Roots and crowns have darkened, diseased tissue.


","

1) Rotate out of legumes 3 to 4 years, ideally to grasses or grains.

2) Control insects. See the     for details.

3) Maintain good plant vigor through high phosphorus and potassium levels, desirable soil pH, and recommended harvest schedules to avoid plant stress.

",,
Clover ,(Trifolium spp.)-Leaf Spots,"Several fungi with the most important in Oregon being Phoma sp., Pseudopeziza trifolii (common leaf spot) and Polythrincium trifolii (sooty blotch). Other fungi causing leaf spots in Oregon include Ramularia sp., Stemphylium sp., and Stagonospora meliloti. Colletotrichum sp. (anthracnose) have been reported to cause leaf spot in Washington. Most of the fungi listed above survive in infected plant stubble and residue. Leaf spots are more severe on the early crop and tend to disappear on the second cutting during the summer. Leaf spots, though conspicuous, seldom cause serious losses.


","Light brown to black spots on the leaves.


","

1) Plant recommended cultivars.

2) Cut early to reduce leaf loss and fungal inoculum.

","Foliar fungicides effectively reduce disease severity and may be considered for clover seed crops.


1) Quadris Flowable (Group 11) at 6 to 15.5 fl oz/A. Use of an adjuvant is recommended. Do not apply more than 15.5 fl oz/A per cutting. Preharvest interval is 14 days for grazing or harvest for forage and hay. 4-hr reentry.

",
Clover ,"(Trifolium spp.)-Nematode, Clover-cyst","Heterodera trifolii, a cyst nematode that is a sedentary endoparasite. Although this pest occasionally is found in western Oregon on roots of various legumes, little information about it is available. Ladino clover and hairy vetch are infected frequently.


","Plants look unthrifty and generally stunted. Under magnification, brown females, resembling miniature lemons, can be seen on roots.


","

1) Rotate field out of legumes.

",,
Clover ,"(Trifolium spp.)-Nematode, Root-knot","Meloidogyne hapla, a nematode that also attacks many vegetable crops. Root-knot nematodes are sedentary endoparasites. Only second-stage juveniles (the infective stage) and, rarely, adult males are in soil.


","Areas of stunted plants in the field. Numerous knots or galls are on roots. Do not confuse them with the pinkish red interiors of nitrifying nodules found on roots of leguminous plants.


","Because the host range of this pest is so large, it is difficult to recommend a crop-rotation program. Cereal and grasses will reduce nematode populations.

",,
Clover ,"(Trifolium spp.)-Nematode, Stem","Ditylenchus dipsaci. The nematode lives mainly in red clover stems and buds; it attacks all red clover cultivars now in use.


","Diseased plants are severely stunted, and stems show numerous swellings. Severely affected plants may die after a few seasons, leaving sparse areas in the field, which weeds may invade. The disease is most evident in early spring and affects only red clover cultivars. Later, plants may be stunted and overgrown by adjacent plants or weeds and may be missed, allowing the infection to spread.


","

1) Rotation with non-leguminous crops for 2 to 4 years, depending on the severity of infection.

",,
Clover ,(Trifolium spp.)-Northern Anthracnose,"A fungus, Kabatiella caulivora, that overwinters on diseased crop residue and may be carried on or in seed. The clover root borer also is a vector of this disease. Cool, wet weather favors disease spread and development. Many clover species are very susceptible.


","The fungus causes brown, sunken areas on stems and leaf petioles. Leaves and flower heads usually lop over, presenting a shepherd's crook appearance, after which they wilt and die and break off easily. Cracking of stem tissues often is pronounced.


","

1) Use seed certified pathogen-free.

2) Rotate at least 3 years with crops other than clover.

3) Use resistant cultivars.

","Seed treatment helps eliminate seedborne spores. Use inoculants after the chemical disinfectant and no earlier than 4 hours before planting.


1) Captan 4F at 8 fl oz/100 lb seed plus a dye.

2) Mertect 340-F (Group 1) at 8.7 fl oz in sufficient water to provide adequate coverage/100 lb of seed for only (SLN OR-100014).

",
Clover ,(Trifolium spp.)-Phyllody,"Clover phyllody phytoplasma, formerly known as a mycoplasma-like organism. This organism is transmitted by a leafhopper. It is a problem on the cultivar Ladino and on red clover.


","The characteristic symptom is the reversion of floral parts into leaf-like organs. Plants also may be stunted, chlorotic, or bronzed. Nodulation may be reduced, and no seed is produced.


","

1) If practical, seed clover in late summer or early fall to reduce the exposure period to insect vectors.

2) Harvest forage or seed only 1 year, then rotate with cereals.

3) Do not plant a new seeding adjoining an established field.

4) Destroy clover plants on ditch banks or waste areas.

",,
Clover ,(Trifolium spp.)-Powdery Mildew,"A fungus, Erysiphe trifoliorum (formerly E. polygoni), which overwinters on the plant and on diseased crop residue. It seldom seriously reduces seed production, but it can reduce forage yield and quality. The disease is common on red clover and occasionally on white and alsike clovers.


","Leaf surfaces are covered with pale gray, powdery fungus growth. Severely infected leaves yellow and die.


","Plant recommended cultivars.

","


1) Quadris Flowable at 6 to 15.5 fl oz/A. Use of an adjuvant is recommended. Do not apply within 14 days of harvest for forage and hay. 4-hr reentry.

",
Clover ,(Trifolium spp.)-Rust,"A fungus, Uromyces trifolii var. fallens, that is favored by cool, wet weather. Disease usually appears later in the growing season, so it does not usually cause economic losses. Rust was found in an Oregon red clover seed field during 2011, a growing season with cooler- and wetter-than-normal weather.


","Reddish, brown pustules develop on stems, petioles, and usually the underside of leaf surfaces.


","

1) There are cultivars that are less susceptible to rust.

","Is not usually necessary.


",
Clover ,(Trifolium spp.)-Sclerotinia Crown Rot and Wilt,"A fungus, Sclerotinia trifoliorum, that can affect alfalfa, birdsfoot trefoil, crown vetch, and clover. The fungus produces small, black sclerotia within infected tissue and these will fall to the soil. During the fall or winter, the sclerotia produce small mushroom-like structures called apothecia. The apothecia produce spores (ascospores) that are blow by wind to susceptible plants. Plants of all ages are susceptible and colonized by the fungus. Sclerotia are produced on or in stem as well as crown tissues.


","In late autumn, brown leaf spots appear. Diseased leaves fall and are covered with white fungus growth. The disease spreads to the crown and roots. In spring, a crown and root rot is evident, and the new growth wilts, dies, and may be covered with fungus growth. Hard, black, fungus bodies (sclerotia) about the size of wheat grains are produced in diseased tissue. Late spring snows favor disease development. Diseased plants initially may be in patches within the field.


","

1) Plant pathogen-free seed.

2) Clean crop rotation. Plant grass or grain for 4 years, and control volunteer legumes.

3) Plow deeply to bury sclerotia.

4) Avoid over-fertilization, especially with nitrogen.

5) Some red clover cultivars are resistant.

","


1) Endura at 5 to 8 oz/A. Do apply more than once. For  (SLN OR-07001). 12-hr reentry.

2) Iprodione formulations (Group 2) are labeled.

2.1) Nevado 4F at 1.5 to 2 pints/A. Do not apply more than twice. For clover for seed in Oregon only. 24-hr reentry.
2.2) Rovral 4 Flowable at 1.5 to 2 pints/A in 12 to 40 gal water /A. One (1) to two (2) applications can be made but no more than two (2) applications per season. If a single application is made, the maximum rate allowed should be used. For crimson, red, or white clover grown for seed in Oregon only (SLN OR-050002). 24-hr reentry.
3) Strobilurin fungicides (Group 11) are labeled for use. Do not make more than one (1) application of any 11 fungicide before alternating to a labeled fungicide with a different mode of action.

3.1) Flint at 2 oz/A. For crimson clover grown for seed in Oregon only (SLN OR-050030). 12-hr reentry.
3.2) Quadris Flowable at 10 fl oz/A. Do not apply within 14 days of harvest for forage or hay. 4-hr reentry
",
